timestamp,upstream_level,downstream_level,gate_opening,flow,is_injected_anomaly,anomaly_note,data_origin
2026-08-01 00:00:00,8.252,5.021,35.03,97.33,False,,synthetic
2026-08-01 01:00:00,8.291,5.052,35.65,98.839,False,,synthetic
2026-08-01 02:00:00,8.319,5.065,35.9,94.676,False,,synthetic
2026-08-01 03:00:00,8.329,5.073,36.27,94.807,False,,synthetic
2026-08-01 04:00:00,8.416,5.11,36.55,97.131,False,,synthetic
2026-08-01 05:00:00,8.403,5.175,36.14,95.489,False,,synthetic
2026-08-01 06:00:00,8.415,5.182,34.62,93.7,False,,synthetic
2026-08-01 07:00:00,8.399,5.185,34.5,93.233,False,,synthetic
2026-08-01 08:00:00,8.39,5.207,34.45,93.928,False,,synthetic
2026-08-01 09:00:00,8.358,5.195,34.17,93.972,False,,synthetic
2026-08-01 10:00:00,8.343,5.169,34.07,95.14,False,,synthetic
2026-08-01 11:00:00,8.309,5.171,34.2,93.423,False,,synthetic
2026-08-01 12:00:00,8.263,5.151,35.1,93.51,False,,synthetic
2026-08-01 13:00:00,8.238,5.137,35.44,93.033,False,,synthetic
2026-08-01 14:00:00,8.164,5.111,35.74,93.099,False,,synthetic
2026-08-01 15:00:00,8.175,5.101,36.21,91.617,False,,synthetic
2026-08-01 16:00:00,8.116,5.072,36.32,91.696,False,,synthetic
2026-08-01 17:00:00,8.112,5.051,35.61,93.287,False,,synthetic
2026-08-01 18:00:00,8.099,5.041,34.89,92.611,False,,synthetic
2026-08-01 19:00:00,8.112,5.037,34.56,92.192,False,,synthetic
2026-08-01 20:00:00,8.13,5.024,34.14,92.519,False,,synthetic
2026-08-01 21:00:00,8.173,5.017,33.86,93.826,False,,synthetic
2026-08-01 22:00:00,8.243,4.987,33.8,93.454,False,,synthetic
2026-08-01 23:00:00,8.221,5.004,34.37,94.262,False,,synthetic
2026-08-02 00:00:00,8.279,4.997,34.66,93.556,False,,synthetic
2026-08-02 01:00:00,8.286,5.044,35.36,94.909,False,,synthetic
2026-08-02 02:00:00,8.361,5.038,35.79,96.006,False,,synthetic
2026-08-02 03:00:00,8.4,5.089,36.27,97.229,False,,synthetic
2026-08-02 04:00:00,8.446,5.122,35.85,96.571,False,,synthetic
2026-08-02 05:00:00,8.466,5.164,35.37,94.303,False,,synthetic
2026-08-02 06:00:00,8.47,5.183,35.06,95.103,False,,synthetic
2026-08-02 07:00:00,8.445,5.206,34.77,94.248,False,,synthetic
2026-08-02 08:00:00,8.435,5.208,34.58,92.318,False,,synthetic
2026-08-02 09:00:00,8.393,5.168,33.85,95.603,False,,synthetic
2026-08-02 10:00:00,8.41,5.201,34.09,95.555,False,,synthetic
